sID,trial_number,trial_number_run,run,estimate1,confidence_rating,estimate2,estimate_peer,confidence_peer,estimate1_rt,confidence_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed
16,4,4,prac,80,1,80,80,3,8.73019062999992,2.103451729999506,5.21682938000004,0.875,0.8,5,1,1.6,1 1 1 1 1,0 1 1 1 1,1 0 0 0 0
16,5,5,prac,17,2,15,1,1,11.9122351299998,2.5520132299993747,4.05989037999962,0.125,0.13333333333333333,45,0,2,9 9 9 9 9,2 0 0 1 3,7 9 9 8 6
16,6,6,prac,5,1,15,20,2,11.0784063299998,2.1354738300001372,3.31803244999946,0.125,0.2,5,0,1.9,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1
16,7,7,prac,40,1,45,82,1,9.87890113000003,2.402591630000188,6.53083717999925,0.5,0.4,5,1,1.7,1 1 1 1 1,1 1 0 0 0,0 0 1 1 1
16,8,8,prac,100,3,99,98,3,3.36222323000038,4.3179070299997875,3.59869957999945,1,1,45,1,2,9 9 9 9 9,9 9 9 9 9,0 0 0 0 0
16,9,9,prac,30,2,40,48,3,9.87888052999961,2.1533956299995225,4.88334637999969,0.625,0.6222222222222222,45,0,1.6,9 9 9 9 9,7 7 5 5 4,2 2 4 4 5
16,10,10,prac,60,1,69,75,3,8.42962222999995,2.233678329999748,5.66500827999971,0.625,0.6,5,0,1.6,1 1 1 1 1,0 0 1 1 1,1 1 0 0 0
16,11,11,prac,75,2,80,93,1,3.97854502999917,2.2197008299995105,3.88398245000008,0.875,0.8666666666666667,45,0,1.9,9 9 9 9 9,7 9 7 7 9,2 0 2 2 0
16,12,12,prac,50,2,55,67,1,4.16180792999967,1.9516148300003806,4.23121648000006,0.625,0.6222222222222222,45,0,1.7,9 9 9 9 9,8 4 6 5 5,1 5 3 4 4
16,13,13,prac,20,1,23,37,1,9.29655063000018,2.3870408300003874,6.13185727999962,0.375,0.4,5,0,1.5,1 1 1 1 1,1 0 1 0 0,0 1 0 1 1
16,14,14,prac,44,2,35,27,2,5.61255763000008,2.170115429999896,8.68292067999937,0.375,0.37777777777777777,45,0,1.5,9 9 9 9 9,2 5 3 4 3,7 4 6 5 6
16,15,15,prac,75,1,64,60,1,10.3615771300001,2.2858452299997225,5.01722014999996,0.625,0.6,5,0,1.9,1 1 1 1 1,1 1 1 0 0,0 0 0 1 1
