sID,trial_number,trial_number_run,run,estimate1,estimate2,estimate_peer,confidence_peer,estimate1_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed,s,strategy,confidence_rating
6,14,14,1,51,51,49,2,4.682497090005199,3.38882692000334,0.5,0.4888888888888889,45,1,4.6,9 9 9 9 9,5 5 5 3 4,4 4 4 6 5,-0,stay,2.4285714285714284
6,15,15,1,47,46,30,3,5.107494489999226,3.3915783199991,0.375,0.37777777777777777,45,0,4.8,9 9 9 9 9,4 2 5 3 3,5 7 4 6 6,0.058823529411764705,compromise,2.4285714285714284
6,16,16,1,77,71,60,3,6.394999989995995,6.30824521999602,0.625,0.6222222222222222,45,0,5.8,9 9 9 9 9,6 6 6 6 4,3 3 3 3 5,0.35294117647058826,compromise,2.4285714285714284
6,17,17,1,58,58,75,1,8.97753948999889,6.2385283199983,0.625,0.6222222222222222,45,0,4.7,9 9 9 9 9,6 5 7 4 6,3 4 2 5 3,0,stay,2.4285714285714284
6,18,18,1,64,64,46,1,3.174373990001186,5.7884008200017,0.625,0.6222222222222222,45,0,4.5,9 9 9 9 9,7 4 3 6 8,2 5 6 3 1,-0,stay,2.4285714285714284
6,19,19,1,90,82,72,3,5.245119390001491,3.57283121999717,0.75,0.8,5,0,5.1,1 1 1 1 1,0 1 1 1 1,1 0 0 0 0,0.4444444444444444,compromise,1
6,20,20,1,6,15,24,3,2.6160058899949945,3.47334831999979,0.25,0.2,5,0,5.4,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1,0.5,compromise,1
6,21,21,1,70,64,52,3,6.220362489999388,4.15264652000405,0.625,0.6,5,0,4.1,1 1 1 1 1,0 1 0 1 1,1 0 1 0 0,0.3333333333333333,compromise,1
6,22,22,1,6,6,21,1,4.433870790002402,1.96743300999879,0.125,0.2,5,0,5.5,1 1 1 1 1,0 1 0 0 0,1 0 1 1 1,0,stay,1
6,23,23,1,35,41,50,2,6.332782789999328,8.04568841999571,0.375,0.4,5,0,4.4,1 1 1 1 1,1 0 1 0 0,0 1 0 1 1,0.4,compromise,1
6,24,24,1,5,5,20,1,4.3409576900012325,2.13479412000379,0.125,0.13333333333333333,45,0,5.5,9 9 9 9 9,1 1 0 2 2,8 8 9 7 7,0,stay,2.4285714285714284
6,25,25,1,36,40,77,2,4.145006889997603,7.25746042000537,0.375,0.4,5,1,5.7,1 1 1 1 1,0 0 1 1 0,1 1 0 0 1,0.0975609756097561,compromise,1
